Column1;Column2
a;a
ablo;jabło
ablonь;jabłoń
ablъko;jabłko
ačь;acz
aduxa;jaducha
agnę;jagnię
agnętina;jagnięcina
agniti;jagnić
agoda;jagoda
aje;jaje
ajьce;jajce
ajьčьnica;jajecznica
ajьčьnъ;jajeczny
ajьko;jajko
ajьnъ;jajny
akъ;ak
ale;ale
aľь;al
ano;ano
arębina;jarzębina
arębъ;jarząb
arьmo;jarzmo
ařь;arz
asenь;jesion
astrębъ;jastrząb
aščerica;jaszczerzyca
aščerъ;jaszczur
aščerъka;jaszczurka
atъ;aty
aviti;jawić
avьnъ;jawny
avorъ;jawor
azь;jaź
ba;ba
baba;baba
ęga;jaga
babonъ;zabobon
babrati;babrać
babъka;babka
badati;badać
bagati;zabagać
bagno;bagno
bajati;bajać
bajьka;bajka
bakati;bakać
balъka;bałka
baňa;bania
bara;bary
baranъ;baran
basnь;baśń
batogъ;batog
batъ;bat
baviti;bawić
bažiti;bażyć
bedrьnьcь;biedrzeniec
bedro;biodro
belenъ;bieluń
bergъ;brzeg
bermę;brzemię
berstъ;brzost
berza;brzoza
besěda;biesiada
besědovati;biesiadować
bez;bez
bezbordъ;bezbrody
bezdětьnъ;bezdzietny
bezdušьnъ;bezduszny
bezdъna;bezdna
bezimenьnъ;bezimienny
běda;bieda
běditi;biedzić
bědьnъ;biedny
běgati;biegać
běglъ;biegły
běgъ;bieg
běkati;bekać
bělěti;bieleć
bělica;bielica
bělidlo;bielidło
běliti;bielić
bělь;biel
bělьmo;bielmo
bělonogъ;białonogi
bělověža;białowieża
bělovolsъ;białowłosy
bělъ;biały
bělъka;białka
bělъkъ;białko
běsiti;biesić
běsъ;bies
běťi;biec
běžati;bieżeć
bičevati;biczować
bičь;bicz
bidlo;bidło
biti;bić
bitva;bitwa
bьčela;pszczoła
bьltati;bełtać
bьrati;brać
bьrdo;bardo
bьrgъ;barg
bьrgъlězъ;bargiel
bьrlogъ;barłóg
blazniti;błaźnić
blaznъ;błazen
blekotъ;blekot
blědostь;bladość
blědъ;blady
blěskъ;blask
blędati;blańdać
blęsti;blęść
blizьnьcь;bliźniak
blizna;blizna
blizъ;blizo
blizъkъ;bliski
blьknǫti;blaknąć
blьsknǫti;błysnąć
blьščati;błyszczeć
blǫditi;błądzić
blǫdьnъ;błędny
blǫdъ;błąd
blъxa;pchła
bľьvati;blwać
bľuščь;bluszcz
bľuzgati;bluzgać
bo;bo
bobrъ;bóbr
bobъ;bób
bogačь;bogacz
bogatьstvo;bogactwo
bogatъ;bogaty
bogodanъ;bogodan
bogъ;bóg
bogъdanъ;bogdan
bogyni;bogini
bojati;bać
bojaznь;bojaźń
bojevati;bojować
bojevъ;bojowy
bojь;bój
bojьnъ;bojny
bokъ;bok
bolěti;boleć
bolgo;błogo
bolь;ból
bolna;błona
bolnьje;błonie
boltina;błocina
bolto;błoto
borda;broda
bordačь;brodacz
bordatъ;brodaty
bordavъka;brodawka
borgъ;bróg
boriti;burzyć
borna;brona
borniti;bronić
bornь;broń
borsky;brzoskiew
borti;bróć
borъ;bór
borvъ;browek
borzda;bruzda
bosonogъ;bosonogi
bosti;bóść
bosъ;bosy
botьjanъ;bocian
božiťь;bożyc
bǫbьniti;bębnić
bǫbьnъ;bęben
bǫkъ;bąk
braga;braha
bratьcь;braciec
bratьskъ;bracki
bratrьja;bracia
bratrьstvo;braterstwo
bratrъ;brat
brediti;bredzić
brěskъ;brzask
brězgъ;brzazg
bręčati;brzęczeć
bręknǫti;brzęknąć
bridъkъ;brzydki
brinъ;brzyn
britva;brzytwa
brьvьno;bierzwionko
broditi;brodzić
brodъ;bród
brojiti;broić
bronъ;brony
broščь;brocz
brudъ;brud
brusiti;brusić
brusьnica;brusznica
brusъ;brus
brъkati;brykać
bry;brew
bryzgati;bryzgać
břuxo;brzuch
bučati;buczeć
buditi;budzić
bujati;bujać
bujьnъ;bujny
bukъ;buk
bukъvica;bukwica
buřa;burza
buza;buzia
bъčьka;beczka
bъděti;bdzieć
bъdigostь;bydgoszcz
bъrkati;barkać
bъrkъ;bark
bъrščь;barszcz
bъrtь;barć
bъrъ;ber
bъrzъ;bardzo
bъzikati;bzykać
bъzъ;bez
byčati;byczeć
bydlo;bydło
bykъ;byk
bylьje;byle
bystrъ;bystry
byti;być
byvati;bywać
byvolъ;bawół
capati;capać
cěditi;cedzić
cěliti;celić
cělovati;całować
cělъ;cały
cěna;cena
cěniti;cenić
cěpъ;cep
cěsařь;cesarz
cěva;cewa
cěvь;cew
cęta;cętka
cicati;cycać
cicь;cyc
cьrky;cerkiew
čadъ;czad
čajьka;czajka
čakati;czekać
čapati;сzарać
čapľa;czapla
čara;czara
čarodějь;czarodziej
čarovati;czarować
čarъ;czar
časъ;czas
čaša;czasza
čekati;czekać
čelnъ;człon
čelo;czoło
čelověkъ;człowiek
čeľadь;czeladź
čeľustь;czeluść
čemerъ;czemier
čepьcь;czepiec
čepъ;czop
čerda;trzoda
čermъša;trzemucha
černъ;trzon
čerpъ;trzop
čerslo;trzosła
čersъ;trzos
čeršьňa;trześnia
červьjь;trzewik
červo;trzewo
česati;czesać
česnikъ;cześnik
česnъkъ;czosnek
češuja;szczeżuja
četa;czata
četvьrtъ;czwarty
četvьrtъkъ;czwartek
četyre;cztery
čexъlъ;czecheł
čeznǫti;czeznąć
čędo;czędo
čęstь;część
čęstъ;częsty
čęsťьjь;częściej
či;czy
činiti;czynić
činъ;czyn
čislo;czysło
